Population	SampleID
AFR___GWD	AFR___GWD___HG03538
AFR___ACB	AFR___ACB___HG02256
AFR___GWD	AFR___GWD___HG02613
AFR___LWK	AFR___LWK___NA19316
SAS___BEB	SAS___BEB___HG03937
AFR___ACB	AFR___ACB___HG02555
AMR___PUR	AMR___PUR___HG01191
EAS___CDX	EAS___CDX___HG01809
EAS___KHV	EAS___KHV___HG02512
EAS___CHS	EAS___CHS___HG00620
